DATE,HOUSE PRICE INDEX
10/1/75,18.82
1/1/76,19.77
4/1/76,20.85
7/1/76,21.92
10/1/76,23.03
1/1/77,24.52
4/1/77,26.65
7/1/77,28.9
10/1/77,30.16
1/1/78,30.94
4/1/78,31.55
7/1/78,31.7
10/1/78,32.76
1/1/79,34.29
4/1/79,35.91
7/1/79,38.36
10/1/79,40.47
1/1/80,42.88
4/1/80,44.63
7/1/80,46.45
10/1/80,47.71
1/1/81,48.67
4/1/81,50.55
7/1/81,51.42
10/1/81,52.43
1/1/82,50.31
4/1/82,50.08
7/1/82,50.73
10/1/82,50.66
1/1/83,51.25
4/1/83,51.81
7/1/83,52.02
10/1/83,52.68
1/1/84,53.69
4/1/84,54.37
7/1/84,55.37
10/1/84,56.66
1/1/85,57.4
4/1/85,58.81
7/1/85,59.98
10/1/85,60.96
1/1/86,61.87
4/1/86,62.69
7/1/86,64.22
10/1/86,65.53
1/1/87,66.7
4/1/87,68.16
7/1/87,70.23
10/1/87,72.15
1/1/88,74.92
4/1/88,78.87
7/1/88,84.42
10/1/88,90.77
1/1/89,97.17
4/1/89,104.83
7/1/89,112.21
10/1/89,114.24
1/1/90,113.35
4/1/90,111.64
7/1/90,110.4
10/1/90,107.27
1/1/91,106.16
4/1/91,105.74
7/1/91,106.36
10/1/91,106.22
1/1/92,105.4
4/1/92,104.7
7/1/92,104.86
10/1/92,104.32
1/1/93,102.97
4/1/93,102.34
7/1/93,101.97
10/1/93,101.43
1/1/94,100.79
4/1/94,100.18
7/1/94,100
10/1/94,100
1/1/95,100
4/1/95,101.16
7/1/95,101.97
10/1/95,102.45
1/1/96,102.93
4/1/96,104.41
7/1/96,106.4
10/1/96,108.05
1/1/97,110.82
4/1/97,115.93
7/1/97,119.38
10/1/97,122.36
1/1/98,126.01
4/1/98,131.28
7/1/98,136.45
10/1/98,138.41
1/1/99,140.11
4/1/99,144.46
7/1/99,151.91
10/1/99,157.57
1/1/00,170.74
4/1/00,184.11
7/1/00,195.17
10/1/00,203.36
1/1/01,210.56
4/1/01,214.41
7/1/01,211.17
10/1/01,205
1/1/02,205.14
4/1/02,210.42
7/1/02,214.22
10/1/02,216.03
1/1/03,215.96
4/1/03,215.36
7/1/03,215.96
10/1/03,220.51
1/1/04,223.33
4/1/04,231.73
7/1/04,249.15
10/1/04,254.84
1/1/05,266.48
4/1/05,286.65
7/1/05,296.95
10/1/05,308.61
1/1/06,311.17
4/1/06,316.28
7/1/06,318.9
10/1/06,317.04
1/1/07,310.63
4/1/07,314.32
7/1/07,308.46
10/1/07,301.71
1/1/08,293.01
4/1/08,279.86
7/1/08,265.38
10/1/08,258.01
1/1/09,251.07
4/1/09,238.08
7/1/09,234.85
10/1/09,236.86
1/1/10,238.12
4/1/10,240.69
7/1/10,241.78
10/1/10,239.72
1/1/11,234.65
4/1/11,234.55
7/1/11,235.2
10/1/11,234.43
1/1/12,233
4/1/12,237.1
7/1/12,243.96
10/1/12,250.63
1/1/13,257.59
4/1/13,270.71
7/1/13,288.95
10/1/13,294.95
1/1/14,300.89
4/1/14,312.42
7/1/14,320.71
10/1/14,324.69
1/1/15,328.91
4/1/15,343.63
7/1/15,357.08
10/1/15,362.76
1/1/16,367.1
4/1/16,377.33
7/1/16,382.05
10/1/16,384.28
1/1/17,390.59
4/1/17,398.04
7/1/17,408.46
10/1/17,414.62
1/1/18,428.45